Date,Open,High,Low,Close,Adj Close,Volume
1/4/16,230.720001,231.380005,219,223.410004,223.410004,6827100
1/5/16,226.360001,226.889999,220,223.429993,223.429993,3186800
1/6/16,220,220.050003,215.979996,219.039993,219.039993,3779100
1/7/16,214.190002,218.440002,213.669998,215.649994,215.649994,3554300
1/8/16,217.860001,220.440002,210.770004,211,211,3628100
1/11/16,214.009995,214.449997,203,207.850006,207.850006,4091400
1/12/16,211.600006,213.740005,205.309998,209.970001,209.970001,3091900
1/13/16,212.009995,212.649994,200,200.309998,200.309998,4126400
1/14/16,202.210007,210,193.380005,206.179993,206.179993,6490700
1/15/16,198.970001,205.070007,197.25,204.990005,204.990005,5578600
1/19/16,208.710007,210.470001,200.779999,204.720001,204.720001,4038700
1/20/16,199.399994,201.279999,191.25,198.699997,198.699997,5838600
1/21/16,201.550003,203.229996,195.020004,199.970001,199.970001,3166200
1/22/16,204.800003,205.5,199.029999,202.550003,202.550003,3124100
1/25/16,200.059998,203.570007,195.880005,196.380005,196.380005,2698700
1/26/16,196.699997,197.820007,188.880005,193.559998,193.559998,4964200
1/27/16,192.380005,193.259995,185.770004,188.070007,188.070007,3617200
1/28/16,190.789993,191.279999,182.410004,189.699997,189.699997,4592800
1/29/16,189.949997,193.740005,188.080002,191.199997,191.199997,2852300
2/1/16,188.759995,199.520004,182.75,196.940002,196.940002,5297600
2/2/16,192.419998,193.119995,180.229996,182.779999,182.779999,5773600
2/3/16,183.589996,183.940002,170.179993,173.479996,173.479996,7931400
2/4/16,170.699997,175.979996,166.990005,175.330002,175.330002,4385400
2/5/16,171.300003,173,157.740005,162.600006,162.600006,9437600
2/8/16,157.100006,157.149994,146,147.990005,147.990005,9313000
2/9/16,142.320007,159.789993,141.050003,148.25,148.25,8651600
2/10/16,150.5,154.970001,141.740005,143.669998,143.669998,10406500
2/11/16,152,163.259995,147,150.470001,150.470001,14252400
2/12/16,155,157.009995,143.699997,151.039993,151.039993,7235800
2/16/16,158.699997,162.949997,154.110001,155.169998,155.169998,5593800
2/17/16,159,169.339996,156.679993,168.679993,168.679993,5825200
2/18/16,172.419998,172.949997,164.770004,166.770004,166.770004,3887600
2/19/16,163.660004,167.490005,162.5,166.580002,166.580002,2959400
2/22/16,170.119995,178.910004,169.850006,177.740005,177.740005,5060100
2/23/16,176.160004,181.729996,173.679993,177.210007,177.210007,5984400
2/24/16,172.75,179.5,167.839996,179,179,5395600
2/25/16,178.649994,188.520004,175.199997,187.429993,187.429993,5750700
2/26/16,188.699997,192,185,190.339996,190.339996,6065100
2/29/16,192.399994,196.350006,189.220001,191.929993,191.929993,4499000
3/1/16,194.25,195.949997,182.699997,186.350006,186.350006,6712200
3/2/16,183.729996,188.520004,181.5,188.339996,188.339996,4862400
3/3/16,188.279999,197.419998,184.220001,195.740005,195.740005,4829000
3/4/16,198,204.029999,197.5,201.039993,201.039993,6489100
3/7/16,197.679993,209.699997,197.399994,205.289993,205.289993,5329400
3/8/16,203.5,207.5,202.199997,202.600006,202.600006,4178700
3/9/16,204.520004,209.369995,202.789993,208.720001,208.720001,3208600
3/10/16,210,213.289993,200.669998,205.179993,205.179993,5192500
3/11/16,207.929993,209.419998,205.330002,207.5,207.5,3343100
3/14/16,212.649994,216.720001,210.639999,215.149994,215.149994,4065700
3/15/16,214.270004,218.970001,211.5,218.339996,218.339996,3180500
3/16/16,218,222.580002,217.020004,221.929993,221.929993,3516700
3/17/16,221.470001,228.5,220,226.380005,226.380005,3782900
3/18/16,229.100006,234.479996,228.059998,232.740005,232.740005,4711800
3/21/16,235.339996,239.880005,235,238.320007,238.320007,5307800
3/22/16,237.210007,238.990005,232.559998,234.240005,234.240005,4316000
3/23/16,232.369995,234.729996,222.029999,222.580002,222.580002,4948800
3/24/16,215.779999,228.889999,215,227.75,227.75,4960900
3/28/16,231.610001,234.809998,225,230.259995,230.259995,3925700
3/29/16,229.889999,232.380005,225.330002,230.130005,230.130005,4014300
3/30/16,235.089996,235.5,226.5,226.889999,226.889999,4033000
3/31/16,229.339996,237.419998,225.009995,229.770004,229.770004,8012900
4/1/16,244.830002,247.899994,233.25,237.589996,237.589996,15997500
4/4/16,249.119995,252.119995,243.639999,246.990005,246.990005,13475300
4/5/16,240.5,256.559998,240,255.470001,255.470001,9948700
4/6/16,253.970001,267.73999,253.449997,265.420013,265.420013,11705500
4/7/16,266.450012,269.339996,254.509995,257.200012,257.200012,8856200
4/8/16,260.5,260.820007,248.020004,250.070007,250.070007,7363900
4/11/16,251,258.98999,245.300003,249.919998,249.919998,9161700
4/12/16,249.5,251.800003,243.630005,247.820007,247.820007,5763200
4/13/16,248.509995,255.5,247.330002,254.529999,254.529999,4925600
4/14/16,253,256.839996,251.050003,251.860001,251.860001,4132200
4/15/16,251.309998,254.600006,249.119995,254.509995,254.509995,3752400
4/18/16,252.229996,258.309998,251.660004,253.880005,253.880005,4271400
4/19/16,253.119995,254.369995,241.25,247.369995,247.369995,6357500
4/20/16,246.259995,253.660004,241.5,249.970001,249.970001,5194100
4/21/16,248.990005,250.899994,246.910004,248.289993,248.289993,2783100
4/22/16,248.889999,254,245.710007,253.75,253.75,3786300
4/25/16,253.009995,257.380005,250.759995,251.820007,251.820007,3670300
4/26/16,252.050003,255.729996,249.389999,253.740005,253.740005,3223800
4/27/16,252.75,255,249.399994,251.470001,251.470001,3205800
4/28/16,249.850006,253.429993,247.440002,247.710007,247.710007,2519000
4/29/16,248.139999,248.429993,237.809998,240.759995,240.759995,5413800
5/2/16,241.5,243.190002,234.820007,241.800003,241.800003,3843900
5/3/16,237.360001,238.910004,231.619995,232.320007,232.320007,4302200
5/4/16,230.289993,234.460007,220.399994,222.559998,222.559998,8700500
5/5/16,228.460007,228.639999,209.789993,211.529999,211.529999,11254800
5/6/16,210.869995,216.369995,208.110001,214.929993,214.929993,5685200
5/9/16,215.720001,216.149994,206.800003,208.919998,208.919998,4776400
5/10/16,207.550003,209.470001,205,208.690002,208.690002,4070600
5/11/16,207.589996,215.479996,206.050003,208.960007,208.960007,5161900
5/12/16,211.440002,211.669998,203.660004,207.279999,207.279999,3650500
5/13/16,207.779999,211.199997,206.699997,207.610001,207.610001,2822800
5/16/16,208.149994,213.149994,207.919998,208.289993,208.289993,2949400
5/17/16,209.050003,209.820007,204.020004,204.660004,204.660004,2843600
5/18/16,209.149994,215.309998,207.75,211.169998,211.169998,5617500
5/19/16,213.619995,216.789993,207.300003,215.210007,215.210007,6866300
